L20_64_dark.000093, a = 0.7537901919567952, z = 0.32662909476715063
L20_64_dark.000094, a = 0.7604872195508066, z = 0.3149464899497789
L20_64_dark.000095, a = 0.7671987896331768, z = 0.30344314082942336
L20_64_dark.000096, a = 0.7739254203910906, z = 0.2921141671437364
L20_64_dark.000097, a = 0.7806676244489867, z = 0.2809548759061491
L20_64_dark.000098, a = 0.7874259090935211, z = 0.26996075243598816
L20_64_dark.000099, a = 0.7942007764893009, z = 0.25912745190254993
L20_64_dark.000100, a = 0.8009927238859286, z = 0.248450791348777
L20_64_dark.000101, a = 0.8078022438167635, z = 0.2379267421629414
L20_64_dark.000102, a = 0.8146298242898758, z = 0.22755142296897102
L20_64_dark.000103, a = 0.8214759489715777, z = 0.217321092908344
L20_64_dark.000104, a = 0.8283410973629165, z = 0.2072321452884227
L20_64_dark.000105, a = 0.8352257449694981, z = 0.19728110157394552
L20_64_dark.000106, a = 0.8421303634649551, z = 0.18746460570010615
L20_64_dark.000107, a = 0.8490554208484073, z = 0.17777941868713731
L20_64_dark.000108, a = 0.8560013815961867, z = 0.16822241353781342
L20_64_dark.000109, a = 0.8629687068081178, z = 0.15879057040054567
L20_64_dark.000110, a = 0.8699578543486265, z = 0.14948097198196053
L20_64_dark.000111, a = 0.8769692789829118, z = 0.14029079919398812
L20_64_dark.000112, a = 0.8840034325084262, z = 0.13121732702148559
L20_64_dark.000113, a = 0.8910607638818853, z = 0.12225792059738283
L20_64_dark.000114, a = 0.8981417193420164, z = 0.11341003147321294
L20_64_dark.000115, a = 0.905246742528245, z = 0.10467119407369596
L20_64_dark.000116, a = 0.9123762745955061, z = 0.096039022324798
L20_64_dark.000117, a = 0.9195307543253534, z = 0.08751120644538513
L20_64_dark.000118, a = 0.9267106182335587, z = 0.07908550989319751
L20_64_dark.000119, a = 0.9339163006743127, z = 0.07075976645655824
L20_64_dark.000120, a = 0.9411482339412325, z = 0.06253187748365074
L20_64_dark.000121, a = 0.9484068483652837, z = 0.05439980924182963
L20_64_dark.000122, a = 0.9556925724097605, z = 0.046361590399849106
L20_64_dark.000123, a = 0.9630058327624597, z = 0.0384153096263391
L20_64_dark.000124, a = 0.9703470544251637, z = 0.030559113298285645
L20_64_dark.000125, a = 0.977716660800549, z = 0.022791203313652808
L20_64_dark.000126, a = 0.9851150737766374, z = 0.01510983500262375
L20_64_dark.000127, a = 0.9925427138088807, z = 0.007513315132305021
