# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
        0.229087     0.000584997     0.000584997     0.000584997
        0.243594     0.000530137     0.000530137     0.000530137
         0.25902     0.000479435     0.000479435     0.000479435
        0.275423     0.000420518     0.000420518     0.000420518
        0.292864     0.000369738     0.000369738     0.000369738
        0.311411     0.000331737     0.000331737     0.000331737
        0.331131     0.000293441     0.000293441     0.000293441
        0.352101     0.000257512     0.000257512     0.000257512
        0.374398     0.000228711     0.000228711     0.000228711
        0.398107     0.000201268     0.000201268     0.000201268
        0.423318     0.000177124     0.000177124     0.000177124
        0.450125     0.000156072     0.000156072     0.000156072
         0.47863     0.000136964     0.000136964     0.000136964
         0.50894     0.000120358     0.000120358     0.000120358
         0.54117      0.00010549      0.00010549      0.00010549
         0.57544     9.24543e-05     9.24543e-05     9.24543e-05
        0.611881     8.09179e-05     8.09179e-05     8.09179e-05
        0.650629     7.07597e-05     7.07597e-05     7.07597e-05
        0.691831     6.18289e-05     6.18289e-05     6.18289e-05
        0.735642     5.39707e-05     5.39707e-05     5.39707e-05
        0.782228     4.70715e-05     4.70715e-05     4.70715e-05
        0.831764     4.10215e-05     4.10215e-05     4.10215e-05
        0.884437     3.57199e-05     3.57199e-05     3.57199e-05
        0.940445     3.10783e-05     3.10783e-05     3.10783e-05
               1     2.70185e-05     2.70185e-05     2.70185e-05
         1.06333     2.34711e-05     2.34711e-05     2.34711e-05
         1.13066     2.03742e-05     2.03742e-05     2.03742e-05
         1.20226      1.7673e-05      1.7673e-05      1.7673e-05
          1.2784      1.5319e-05      1.5319e-05      1.5319e-05
         1.35936     1.32694e-05     1.32694e-05     1.32694e-05
         1.44544      1.1486e-05      1.1486e-05      1.1486e-05
         1.53697     9.93573e-06     9.93573e-06     9.93573e-06
         1.63431     8.58899e-06     8.58899e-06     8.58899e-06
          1.7378      7.4201e-06      7.4201e-06      7.4201e-06
         1.84785     6.40624e-06     6.40624e-06     6.40624e-06
         1.96487     5.52752e-06     5.52752e-06     5.52752e-06
          2.0893     4.76646e-06     4.76646e-06     4.76646e-06
          2.2216     4.10778e-06     4.10778e-06     4.10778e-06
         2.36229     3.53808e-06     3.53808e-06     3.53808e-06
         2.51189     3.04568e-06     3.04568e-06     3.04568e-06
